ITEM_WID,AMOUNT,QUARTER_NAME,TYPE
10024,942.00000000,2024-Q4,Inventory Adjustments
10083,-12560.00000000,2024-Q4,Inventory Adjustments
10060,1779.00000000,2025-Q2,Inventory Adjustments
10048,-128034.00000000,2025-Q1,Inventory Adjustments
10047,0.00000000,2024-Q4,Inventory Adjustments
10027,-126.00000000,2024-Q4,Inventory Adjustments
10054,-2517610.00000000,2025-Q1,Inventory Adjustments
10006,19662.00000000,2025-Q2,Inventory Adjustments
10011,115063.00000000,2024-Q4,Inventory Adjustments
10010,102376.00000000,2025-Q1,Inventory Adjustments
10046,39781.00000000,2025-Q1,Inventory Adjustments
10028,-2597.00000000,2025-Q1,Inventory Adjustments
10042,345620.00000000,2024-Q4,Inventory Adjustments
10020,-59745.00000000,2024-Q4,Inventory Adjustments
10001,157316.00000000,2024-Q4,Inventory Adjustments
10097,-24662.00000000,2025-Q1,Inventory Adjustments
10085,832620.00000000,2025-Q2,Inventory Adjustments
10053,758130.00000000,2024-Q4,Inventory Adjustments
10077,2854156.00000000,2025-Q2,Inventory Adjustments
10071,3673182.00000000,2025-Q1,Inventory Adjustments
10100,45330.00000000,2024-Q4,Inventory Adjustments
10047,4248.00000000,2024-Q4,Inventory Adjustments
10012,-2716.00000000,2025-Q1,Inventory Adjustments
10089,173253.00000000,2024-Q4,Inventory Adjustments
10051,-124610.00000000,2025-Q1,Inventory Adjustments
10086,-220656.00000000,2024-Q4,Inventory Adjustments
10083,193552.00000000,2024-Q4,Inventory Adjustments
10071,4212.00000000,2024-Q4,Inventory Adjustments
10038,-7088.00000000,2025-Q2,Inventory Adjustments
10029,0.00000000,2025-Q1,Inventory Adjustments
10081,-3576.00000000,2025-Q2,Inventory Adjustments
10035,257103.00000000,2025-Q2,Inventory Adjustments
10095,-1680492.00000000,2024-Q4,Inventory Adjustments
10029,5916774.00000000,2024-Q4,Inventory Adjustments
10010,1002267.00000000,2025-Q1,Inventory Adjustments
10071,0.00000000,2024-Q4,Inventory Adjustments
10017,122764.00000000,2024-Q4,Inventory Adjustments
10022,121833.00000000,2024-Q4,Inventory Adjustments
10092,3860508.00000000,2024-Q4,Inventory Adjustments
10026,203036.00000000,2025-Q1,Inventory Adjustments
10051,12915.00000000,2025-Q2,Inventory Adjustments
10047,5798.00000000,2024-Q4,Inventory Adjustments
10059,1315244.00000000,2025-Q1,Inventory Adjustments
10006,-46753.00000000,2024-Q4,Inventory Adjustments
10017,-234.00000000,2025-Q1,Inventory Adjustments
10034,67566.00000000,2024-Q4,Inventory Adjustments
10075,40205.00000000,2024-Q4,Inventory Adjustments
10019,3125647.00000000,2025-Q2,Inventory Adjustments
10079,13240.00000000,2025-Q1,Inventory Adjustments
10048,-1628.00000000,2025-Q2,Inventory Adjustments
10048,0.00000000,2024-Q4,Inventory Adjustments
10008,9060.00000000,2025-Q2,Inventory Adjustments
10018,-34964.00000000,2025-Q1,Inventory Adjustments
10025,-31664.00000000,2025-Q2,Inventory Adjustments
10035,433698.00000000,2025-Q2,Inventory Adjustments
10014,38631.00000000,2025-Q1,Inventory Adjustments
10075,0.00000000,2025-Q1,Inventory Adjustments
10098,728004.00000000,2024-Q4,Inventory Adjustments
10023,-9296.00000000,2024-Q4,Inventory Adjustments
10076,0.00000000,2025-Q1,Inventory Adjustments
10037,2618.00000000,2024-Q4,Inventory Adjustments
10087,-13408.00000000,2025-Q2,Inventory Adjustments
10024,1258.00000000,2024-Q4,Inventory Adjustments
10014,-24510.00000000,2024-Q4,Inventory Adjustments
10024,70.00000000,2025-Q1,Inventory Adjustments
10087,-104964.00000000,2025-Q2,Inventory Adjustments
10024,1852857.00000000,2024-Q4,Inventory Adjustments
10061,139972.00000000,2024-Q4,Inventory Adjustments
10058,140336.00000000,2024-Q4,Inventory Adjustments
10093,676510.00000000,2025-Q2,Inventory Adjustments
10057,-64140.00000000,2024-Q4,Inventory Adjustments
10067,-2058.00000000,2025-Q1,Inventory Adjustments
10022,-1103400.00000000,2025-Q2,Inventory Adjustments
10015,-327942.00000000,2025-Q2,Inventory Adjustments
10092,-1624752.00000000,2025-Q2,Inventory Adjustments
10059,-9655565.00000000,2025-Q2,Inventory Adjustments
10053,-68750.00000000,2025-Q1,Inventory Adjustments
10067,2504400.00000000,2025-Q2,Inventory Adjustments
10092,-14088.00000000,2024-Q4,Inventory Adjustments
10099,351365.00000000,2025-Q1,Inventory Adjustments
10036,1218885.00000000,2025-Q1,Inventory Adjustments
10074,-13848.00000000,2024-Q4,Inventory Adjustments
10008,170880.00000000,2024-Q4,Inventory Adjustments
10070,-38679.00000000,2025-Q2,Inventory Adjustments
10014,46410150.00000000,2024-Q4,Inventory Adjustments
10090,-9857916.00000000,2025-Q2,Inventory Adjustments
10100,9752770.00000000,2025-Q1,Inventory Adjustments
10091,-189252.00000000,2024-Q4,Inventory Adjustments
10099,-10712.00000000,2025-Q1,Inventory Adjustments
10075,0.00000000,2024-Q4,Inventory Adjustments
10073,-906410.00000000,2025-Q2,Inventory Adjustments
10001,20464.00000000,2024-Q4,Inventory Adjustments
10016,-1089.00000000,2024-Q4,Inventory Adjustments
10086,6984.00000000,2025-Q1,Inventory Adjustments
10002,62909.00000000,2025-Q2,Inventory Adjustments
10086,-345639.00000000,2024-Q4,Inventory Adjustments
10026,-1575455.00000000,2024-Q4,Inventory Adjustments
10049,102630.00000000,2024-Q4,Inventory Adjustments
10071,130108.00000000,2024-Q4,Inventory Adjustments
10042,-2530.00000000,2025-Q1,Inventory Adjustments
10006,324117.00000000,2024-Q4,Inventory Adjustments
10076,0.00000000,2024-Q4,Inventory Adjustments
10069,747225.00000000,2025-Q1,Inventory Adjustments
10074,46492.00000000,2025-Q1,Inventory Adjustments
10044,4368756.00000000,2024-Q4,Inventory Adjustments
10001,-2019216.00000000,2024-Q4,Inventory Adjustments
10041,-4855326.00000000,2024-Q4,Inventory Adjustments
10014,2592528.00000000,2024-Q4,Inventory Adjustments
10056,-10908.00000000,2024-Q4,Inventory Adjustments
10100,-518616.00000000,2025-Q2,Inventory Adjustments
10058,-187926.00000000,2025-Q2,Inventory Adjustments
10068,213.00000000,2024-Q4,Inventory Adjustments
10035,-6017283.00000000,2025-Q1,Inventory Adjustments
10064,0.00000000,2025-Q1,Inventory Adjustments
10023,-7144.00000000,2025-Q2,Inventory Adjustments
10030,9616.00000000,2025-Q1,Inventory Adjustments
10078,-247130.00000000,2024-Q4,Inventory Adjustments
10033,328572.00000000,2025-Q2,Inventory Adjustments
10042,2740.00000000,2025-Q2,Inventory Adjustments
10087,-317990.00000000,2024-Q4,Inventory Adjustments
10087,-5684.00000000,2025-Q2,Inventory Adjustments
10031,524853.00000000,2025-Q2,Inventory Adjustments
10048,-35920.00000000,2024-Q4,Inventory Adjustments
10074,-555720.00000000,2025-Q1,Inventory Adjustments
10048,-15927.00000000,2025-Q2,Inventory Adjustments
10033,43505696.00000000,2025-Q2,Inventory Adjustments
10097,-22977.00000000,2024-Q4,Inventory Adjustments
10063,364672.00000000,2024-Q4,Inventory Adjustments
10022,79.00000000,2025-Q1,Inventory Adjustments
10093,-937573.00000000,2024-Q4,Inventory Adjustments
10001,-67500.00000000,2025-Q1,Inventory Adjustments
10052,-6560.00000000,2024-Q4,Inventory Adjustments
10034,-15990.00000000,2025-Q2,Inventory Adjustments
10072,41678.00000000,2024-Q4,Inventory Adjustments
10053,-45462.00000000,2025-Q1,Inventory Adjustments
10023,3184.00000000,2024-Q4,Inventory Adjustments
10091,1864920.00000000,2024-Q4,Inventory Adjustments
10014,3936.00000000,2024-Q4,Inventory Adjustments
10076,-29160.00000000,2024-Q4,Inventory Adjustments
10052,-1524.00000000,2024-Q4,Inventory Adjustments
10014,82773.00000000,2025-Q1,Inventory Adjustments
10092,-1690.00000000,2024-Q4,Inventory Adjustments
10069,2238.00000000,2025-Q1,Inventory Adjustments
10067,0.00000000,2024-Q4,Inventory Adjustments
10037,376130.00000000,2024-Q4,Inventory Adjustments
10099,2745.00000000,2025-Q2,Inventory Adjustments
10030,-2390.00000000,2024-Q4,Inventory Adjustments
10032,-501893.00000000,2024-Q4,Inventory Adjustments
10064,7938.00000000,2025-Q2,Inventory Adjustments
10029,3753.00000000,2025-Q1,Inventory Adjustments
